1413815114.512055;m3-26;Acc;-8.020561E-2;3.267636E-2;-9.911829E-1
1413815114.512543;m3-27;Acc;-7.5873114E-2;1.3976626E-2;-9.883471E-1
1413815114.513021;m3-27;Acc;-7.786977E-2;1.2978296E-2;-9.853521E-1
1413815114.513449;m3-24;Acc;-7.207301E-2;3.850476E-2;-9.912508E-1
1413815114.513781;m3-24;Acc;-6.41746E-2;3.5542857E-2;-9.873016E-1
1413815114.514295;m3-25;Acc;-5.5221416E-2;2.0452376E-2;-9.8580456E-1
1413815114.514784;m3-22;Acc;-4.498205E-2;2.2990825E-2;-9.886055E-1
1413815114.515498;m3-23;Acc;-9.166011E-2;-2.451375E-2;-9.848133E-1
1413815114.515972;m3-31;Acc;-1.4686407E-1;1.3987055E-2;-9.860874E-1
1413815114.516301;m3-31;Acc;-1.4386685E-1;1.3987055E-2;-9.8309016E-1
1413815114.516766;m3-29;Acc;-6.4767815E-2;1.7203951E-2;-9.8770916E-1
1413815114.517257;m3-30;Acc;-1.2005447E-1;7.143737E-2;-9.8027945E-1
1413815114.517974;m3-26;Acc;-7.7235036E-2;3.0695975E-2;-9.941535E-1
1413815114.518549;m3-27;Acc;-7.387645E-2;1.2978296E-2;-9.853521E-1
1413815114.519095;m3-24;Acc;-6.911111E-2;3.5542857E-2;-9.922381E-1
1413815114.519617;m3-25;Acc;-5.6244038E-2;1.5339282E-2;-9.909177E-1
1413815114.520140;m3-22;Acc;-4.0983643E-2;2.598963E-2;-9.9160427E-1
1413815114.520663;m3-23;Acc;-9.2725925E-2;-2.238212E-2;-9.9014235E-1
1413815114.521094;m3-31;Acc;-1.4686407E-1;1.698428E-2;-9.860874E-1
1413815114.521774;m3-28;Acc;-7.82512E-2;-9.315618E-3;-9.902503E-1
1413815114.522102;m3-28;Acc;-7.731964E-2;-7.452495E-3;-9.9118185E-1
1413815114.522675;m3-30;Acc;-1.18070096E-1;7.242955E-2;-9.782951E-1
1413815114.523169;m3-26;Acc;-8.2186E-2;3.3666555E-2;-9.9316335E-1
1413815114.523667;m3-27;Acc;-7.986643E-2;1.19799655E-2;-9.853521E-1
1413815114.524186;m3-24;Acc;-6.911111E-2;3.4555554E-2;-9.882889E-1
1413815114.524734;m3-25;Acc;-6.033451E-2;1.4316664E-2;-9.847819E-1
1413815114.525259;m3-22;Acc;-4.3982446E-2;2.6989229E-2;-9.906047E-1
1413815114.525791;m3-23;Acc;-8.952848E-2;-2.238212E-2;-9.8587906E-1
1413815114.526331;m3-31;Acc;-1.4286777E-1;1.498613E-2;-9.8309016E-1
1413815114.526963;m3-28;Acc;-7.545651E-2;-8.384056E-3;-9.9118185E-1
1413815114.527262;m3-28;Acc;-7.545651E-2;-6.520933E-3;-9.902503E-1
1413815114.527740;m3-29;Acc;-6.375582E-2;2.2263937E-2;-9.8568517E-1
1413815114.528043;m3-29;Acc;-6.8815805E-2;1.7203951E-2;-9.9175715E-1
1413815114.528751;m3-30;Acc;-1.2402321E-1;7.044518E-2;-9.822638E-1
1413815114.529214;m3-26;Acc;-7.426446E-2;3.465675E-2;-9.9217314E-1
1413815114.529865;m3-27;Acc;-7.8868106E-2;1.2978296E-2;-9.853521E-1
1413815114.530355;m3-24;Acc;-6.812381E-2;3.4555554E-2;-9.892762E-1
1413815114.530981;m3-25;Acc;-6.237975E-2;1.5339282E-2;-9.8989505E-1
1413815114.531422;m3-22;Acc;-3.9984044E-2;2.3990426E-2;-9.9360347E-1
1413815114.532069;m3-23;Acc;-8.8462666E-2;-2.5579564E-2;-9.9120814E-1
1413815114.532653;m3-31;Acc;-1.3587424E-1;1.3987055E-2;-9.850883E-1
1413815114.533114;m3-28;Acc;-7.82512E-2;-6.520933E-3;-9.902503E-1
1413815114.533576;m3-29;Acc;-6.98278E-2;1.9227944E-2;-9.907452E-1
1413815114.533903;m3-29;Acc;-6.577981E-2;2.125194E-2;-9.9175715E-1
1413815114.534401;m3-29;Acc;-6.780381E-2;2.2263937E-2;-9.8568517E-1
1413815114.535002;m3-30;Acc;-1.2402321E-1;6.945299E-2;-9.812716E-1
1413815114.535533;m3-26;Acc;-7.624484E-2;3.8617518E-2;-9.961339E-1
1413815114.535987;m3-27;Acc;-7.786977E-2;1.3976626E-2;-9.8934543E-1
1413815114.536454;m3-24;Acc;-7.306032E-2;3.9492063E-2;-9.912508E-1
1413815114.536939;m3-25;Acc;-6.135713E-2;1.840714E-2;-9.9398553E-1
1413815114.537261;m3-25;Acc;-6.340237E-2;1.738452E-2;-9.909177E-1
1413815114.537760;m3-22;Acc;-4.2982846E-2;2.2990825E-2;-9.886055E-1
1413815114.538094;m3-22;Acc;-3.9984044E-2;2.3990426E-2;-9.8760587E-1
1413815114.538559;m3-23;Acc;-9.059429E-2;-2.6645381E-2;-9.8587906E-1
1413815114.538931;m3-23;Acc;-9.059429E-2;-2.9842826E-2;-9.8268163E-1
1413815114.539395;m3-31;Acc;-1.3987055E-1;1.8982433E-2;-9.8209107E-1
1413815114.539923;m3-28;Acc;-7.731964E-2;-6.520933E-3;-9.921134E-1
1413815114.540384;m3-29;Acc;-6.577981E-2;2.3275934E-2;-9.8973316E-1
1413815114.540909;m3-30;Acc;-1.22038834E-1;7.044518E-2;-9.822638E-1
1413815114.541397;m3-30;Acc;-1.2402321E-1;6.8460815E-2;-9.8524034E-1
1413815114.541828;m3-26;Acc;-7.921542E-2;3.3666555E-2;-9.9217314E-1
1413815114.542157;m3-26;Acc;-7.624484E-2;3.663713E-2;-9.941535E-1
1413815114.542672;m3-27;Acc;-7.8868106E-2;1.0981634E-2;-9.873488E-1
1413815114.542974;m3-27;Acc;-7.687144E-2;8.984974E-3;-9.853521E-1
1413815114.543474;m3-24;Acc;-6.812381E-2;3.653016E-2;-9.892762E-1
1413815114.544071;m3-25;Acc;-5.7266656E-2;1.6361902E-2;-9.8784983E-1
1413815114.544559;m3-22;Acc;-4.1983247E-2;2.598963E-2;-9.9160427E-1
1413815114.545223;m3-23;Acc;-9.2725925E-2;-2.7711196E-2;-9.837474E-1
1413815114.545791;m3-31;Acc;-1.3987055E-1;1.9981507E-2;-9.8309016E-1
1413815114.546095;m3-31;Acc;-1.3887148E-1;1.498613E-2;-9.850883E-1
1413815114.546658;m3-28;Acc;-7.731964E-2;-8.384056E-3;-9.9118185E-1
1413815114.547364;m3-30;Acc;-1.250154E-1;6.5484256E-2;-9.8524034E-1
1413815114.547972;m3-26;Acc;-7.624484E-2;3.663713E-2;-9.961339E-1
1413815114.548556;m3-27;Acc;-7.387645E-2;7.986643E-3;-9.853521E-1
1413815114.549119;m3-24;Acc;-6.911111E-2;3.850476E-2;-9.873016E-1
1413815114.549432;m3-24;Acc;-6.812381E-2;3.4555554E-2;-9.863143E-1
1413815114.549946;m3-25;Acc;-6.135713E-2;2.0452376E-2;-9.8784983E-1
1413815114.550584;m3-22;Acc;-4.498205E-2;2.598963E-2;-9.8960507E-1
1413815114.551177;m3-23;Acc;-8.526522E-2;-2.7711196E-2;-9.9014235E-1
1413815114.551768;m3-31;Acc;-1.3887148E-1;1.1988904E-2;-9.890846E-1
1413815114.552315;m3-28;Acc;-8.384057E-2;-8.384056E-3;-9.893187E-1
1413815114.552627;m3-28;Acc;-7.918276E-2;-9.315618E-3;-9.8838717E-1
1413815114.553107;m3-29;Acc;-6.780381E-2;1.7203951E-2;-9.887212E-1
1413815114.553773;m3-30;Acc;-1.2402321E-1;6.449207E-2;-9.812716E-1
1413815114.554355;m3-26;Acc;-7.921542E-2;3.3666555E-2;-9.9217314E-1
1413815114.554948;m3-27;Acc;-7.0881456E-2;8.984974E-3;-9.913421E-1
1413815114.555513;m3-24;Acc;-6.911111E-2;3.5542857E-2;-9.882889E-1
1413815114.555951;m3-25;Acc;-6.4424984E-2;1.5339282E-2;-9.888724E-1
1413815114.556690;m3-22;Acc;-4.1983247E-2;2.3990426E-2;-9.836075E-1
